cont,loc
AZ,Phoenix
AZ,Scottsdale
AZ,Tempe
AZ,Tucson
CA,Alameda
CA,Albany
CA,Alhambra
CA,Anaheim
CA,Belmont
CA,Berkeley
CA,Beverly+Hills
CA,Big+Sur
CA,Burbank
CA,Concord
CA,Costa+Mesa
CA,Culver+City
CA,Cupertino
CA,Daly+City
CA,Davis
CA,Dublin
CA,Emeryville
CA,Foster+City
CA,Fremont
CA,Glendale
CA,Hayward
CA,Healdsburg
CA,Huntington+Beach
CA,Irvine
CA,La+Jolla
CA,Livermore
CA,Long+Beach
CA,Los+Altos
CA,Los+Angeles
CA,Los+Gatos
CA,Marina+del+Rey
CA,Menlo+Park
CA,Mill+Valley
CA,Millbrae
CA,Milpitas
CA,Monterey
CA,Mountain+View
CA,Napa
CA,Newark
CA,Newport+Beach
CA,Oakland
CA,Orange+County
CA,Palo+Alto
CA,Park+La+Brea
CA,Pasadena
CA,Pleasanton
CA,Redondo+Beach
CA,Redwood+City
CA,Sacramento
CA,San+Bruno
CA,San+Carlos
CA,San+Diego
CA,San+Francisco
CA,San+Jose
CA,San+Leandro
CA,San+Mateo
CA,San+Rafael
CA,Santa+Barbara
CA,Santa+Clara
CA,Santa+Cruz
CA,Santa+Monica
CA,Santa+Rosa
CA,Sausalito
CA,Sonoma
CA,South+Lake+Tahoe
CA,Stockton
CA,Studio+City
CA,Sunnyvale
CA,Torrance
CA,Union+City
CA,Venice
CA,Walnut+Creek
CA,West+Hollywood
CA,West+Los+Angeles
CA,Westwood
CA,Yountville
CO,Boulder
CO,Denver
CT,Hartford
CT,New+Haven
DC,"Washington,+DC"
FL,Fort+Lauderdale
FL,Gainesville
FL,Miami
FL,Miami+Beach
FL,Orlando
FL,Tampa
GA,Atlanta
GA,Savannah
HI,Honolulu
HI,Lahaina
IA,Iowa+City
ID,Boise
IL,Chicago
IL,Evanston
IL,Naperville
IL,Schaumburg
IL,Skokie
IN,Bloomington
IN,Indianapolis
KY,Louisville
LA,New+Orleans
MA,Allston
MA,Boston
MA,Brighton
MA,Brookline
MA,Cambridge
MA,Somerville
MD,Baltimore
MI,Ann+Arbor
MI,Detroit
MN,Minneapolis
MN,Saint+Paul
MO,Kansas+City
MO,Saint+Louis
NC,Charlotte
NC,Durham
NC,Raleigh
NJ,Newark
NJ,Princeton
NM,Albuquerque
NM,Santa+Fe
NV,Las+Vegas
NV,Reno
NY,Brooklyn
NY,Long+Island+City
NY,New+York
NY,Flushing
OH,Cincinnati
OH,Cleveland
OH,Columbus
OR,Portland
OR,Salem
PA,Philadelphia
PA,Pittsburgh
RI,Providence
SC,Charleston
TN,Memphis
TN,Nashville
TX,Austin
TX,Dallas
TX,Houston
TX,San+Antonio
UT,Salt+Lake+City
VA,Alexandria
VA,Arlington
VA,Richmond
VT,Burlington
WA,Bellevue
WA,Redmond
WA,Seattle
WI,Madison
WI,Milwaukee
